URL,Title,Series,SEO Score (0-100),Top Action #1,Top Action #2,Top Action #3,Yoast SEO Title Length,Meta Description Length,Word Count,Internal Links,Images Missing Alt
https://seatofthesoul.com/spiritual-partnership-and-the-law-of-attraction,Soul Feast #28: Spiritual Partnership and the Law of Attraction,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (347 words, ideal 500+)",96,0,347,0,0
https://seatofthesoul.com/what-is-a-universal-human,Soul Feast #29: What is a Universal Human?,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (388 words, ideal 500+)",75,0,388,0,0
https://seatofthesoul.com/everything-is-an-opportunity,Soul Feast #30: Everything is an Opportunity,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (396 words, ideal 500+)",77,0,396,0,0
https://seatofthesoul.com/together-miniseries-3-the-birth-of-authentic-power,Soul Feast #33: Together Miniseries #3: The Birth of Authentic Power,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (459 words, ideal 500+)",101,0,459,0,0
https://seatofthesoul.com/together-miniseries-5-the-journey-inside-fear,Soul Feast #35: Together Miniseries #5: The Journey Inside – Fear,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (429 words, ideal 500+)",98,0,429,0,0
https://seatofthesoul.com/together-miniseries-6-the-journey-inside-love,Soul Feast #36: Together Miniseries #6: The Journey Inside – Love,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (438 words, ideal 500+)",98,0,438,0,0
https://seatofthesoul.com/soul-feast-37-together-miniseries-7-where-were-going,Soul Feast #37: Together Miniseries #7: Where We’re Going,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (457 words, ideal 500+)",90,0,457,0,0
https://seatofthesoul.com/soul-feast-44-non-physical-teachers-pt-1,Soul Feast #42: Non-Physical Teachers: Part 1,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (456 words, ideal 500+)",78,0,456,0,0
https://seatofthesoul.com/soul-feast-47-what-to-do-about-polarization-in-my-family-or-workplace,Soul Feast #47: What to Do about Polarization in My Family or Workplace?,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (480 words, ideal 500+)",105,0,480,0,0
https://seatofthesoul.com/creating-authentic-power-introduction,Soul Feast #4: Creating Authentic Power – Introduction,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (327 words, ideal 500+)",87,0,327,0,0
https://seatofthesoul.com/soul-feast-53-whats-real-love-or-fear,Soul Feast #53: What’s Real? Love or Fear,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (387 words, ideal 500+)",74,0,387,0,0
https://seatofthesoul.com/soul-feast-54-whats-real-authentic-power,Soul Feast #54: What’s Real? Authentic Power,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (385 words, ideal 500+)",77,0,385,0,0
https://seatofthesoul.com/soul-feast-57-whats-real-the-new-consciousness,Soul Feast #57: What’s Real? The New Consciousness,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (390 words, ideal 500+)",83,0,390,0,0
https://seatofthesoul.com/soul-feast-60-the-universe-doesnt-judge,Soul Feast #60: The Universe Doesn’t Judge,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (411 words, ideal 500+)",75,0,411,0,0
https://seatofthesoul.com/soul-feast-63-evolution-of-consciousness-where-to-look-for-it,Soul Feast #63: Evolution of Consciousness: Where to Look for It,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (455 words, ideal 500+)",97,0,455,0,0
https://seatofthesoul.com/soul-feast-69-guidelines-3-pay-attention-to-my-emotions,Soul Feast #69: GUIDELINES 3: Pay Attention to My Emotions,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (458 words, ideal 500+)",91,0,458,0,0
https://seatofthesoul.com/soul-feast-71-gary-zukavs-personal-experiences-linda-part-1,Soul Feast #71: Gary Zukav’s Personal Experiences – Linda Part 1,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (363 words, ideal 500+)",97,0,363,0,0
https://seatofthesoul.com/soul-snack-38-guided-meditation-partnership-between-equals,Soul Snack # 38: Guided Meditation (Partnership Between Equals),Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (354 words, ideal 500+)",96,0,354,0,0
https://seatofthesoul.com/soul-snack-39-how-do-i-deal-with-a-bad-decision,Soul Snack # 39: How Do I Deal with a “Bad” Decision (Someone Else’s),Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (368 words, ideal 500+)",102,0,368,0,0
https://seatofthesoul.com/how-to-grow-spiritually-when-depressed,Soul Snack #17: How to Grow Spiritually When Depressed,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (340 words, ideal 500+)",87,0,340,0,0
https://seatofthesoul.com/can-talents-learned-in-past-lives-carry-over,Soul Snack #18: Can Talents Learned in Past Lives Carry Over?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (320 words, ideal 500+)",94,0,320,0,0
https://seatofthesoul.com/distinguishing-your-personality-from-your-soul,Soul Snack #20: Distinguishing Your Personality from Your Soul,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (349 words, ideal 500+)",95,0,349,0,0
https://seatofthesoul.com/garys-first-encounter-with-multi-sensory-perception,Soul Snack #22: Gary’s First Encounter With Multi-Sensory Perception,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (325 words, ideal 500+)",101,0,325,0,0
https://seatofthesoul.com/how-do-i-heal-depression,Soul Snack #26 – How Do I Heal Depression?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (405 words, ideal 500+)",75,0,405,0,0
https://seatofthesoul.com/pay-attention-to-your-emotions,Soul Snack #27: Pay Attention to Your Emotions,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (382 words, ideal 500+)",79,0,382,0,0
https://seatofthesoul.com/underneath-reaction,Soul Snack #28: Underneath Reaction,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (390 words, ideal 500+)",68,0,390,0,0
https://seatofthesoul.com/can-healing-be-spontaneous,Soul Snack #35: Can Healing Be Spontaneous?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (410 words, ideal 500+)",76,0,410,0,0
https://seatofthesoul.com/soul-snack-41-psychology-balancing-a-shattered-soul,Soul Snack #41:  Psychology – Balancing a Shattered Soul,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (416 words, ideal 500+)",88,0,416,0,0
https://seatofthesoul.com/soul-snack-43-how-can-i-be-authentic-and-grieve-a-loss,Soul Snack #43: How Can I Be Authentic and Grieve a Loss?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (430 words, ideal 500+)",90,0,430,0,0
https://seatofthesoul.com/soul-snack-44-unsplinter-your-personality,Soul Snack #44: Unsplinter Your Personality,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (435 words, ideal 500+)",76,0,435,0,0
https://seatofthesoul.com/soul-snack-47-how-to-trust,Soul Snack #47: How to Trust: Part 1,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (395 words, ideal 500+)",69,0,395,0,0
https://seatofthesoul.com/soul-snack-51-are-there-evil-people-in-the-world,Soul Snack #51: Are There Evil People in the World?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (341 words, ideal 500+)",84,0,341,0,0
https://seatofthesoul.com/soul-snack-52-how-can-i-judge-in-jury-duty,Soul Snack #52: How Can I Judge in Jury Duty?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (324 words, ideal 500+)",78,0,324,0,0
https://seatofthesoul.com/soul-snack-56-how-can-i-change-my-overwhelm,Soul Snack #56: How Can I Change My Overwhelm?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (377 words, ideal 500+)",79,0,377,0,0
https://seatofthesoul.com/soul-snack-58-the-higher-logic-of-the-heart,Soul Snack #58: The Higher Logic of the Heart,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (357 words, ideal 500+)",78,0,357,0,0
https://seatofthesoul.com/soul-snack-59-how-can-i-heal-anxiety,Soul Snack #59: How Can I Heal Anxiety?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (356 words, ideal 500+)",72,0,356,0,0
https://seatofthesoul.com/soul-snack-60-discern-your-intentions,Soul Snack #60: Discern Your Intentions,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (347 words, ideal 500+)",72,0,347,0,0
https://seatofthesoul.com/soul-snack-61-emotional-indulgence,Soul Snack #61: Emotional Indulgence,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (404 words, ideal 500+)",69,0,404,0,0
https://seatofthesoul.com/soul-snack-63-spiritual-partnership,Soul Snack #63: Spiritual Partnership,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (447 words, ideal 500+)",70,0,447,0,0
https://seatofthesoul.com/soul-snack-64-spiritual-partnership-and-development,Soul Snack #64: Spiritual Partnership and Development,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (427 words, ideal 500+)",86,0,427,0,0
https://seatofthesoul.com/soul-snack-69-what-does-my-soul-want,Soul Snack #69: What Does My Soul Want?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (459 words, ideal 500+)",72,0,459,0,0
https://seatofthesoul.com/soul-snack-71-courage-meditation,Soul Snack #71: Courage Meditation,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (412 words, ideal 500+)",67,0,412,0,0
https://seatofthesoul.com/soul-snack-75-its-always-yours-to-do,Soul Snack #75: It’s Always Yours to Do,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (390 words, ideal 500+)",72,0,390,0,0
https://seatofthesoul.com/soul-snack-78-are-you-actually-enjoying-your-life,Soul Snack #78: Are You Actually Enjoying Your Life?,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (440 words, ideal 500+)",85,0,440,0,0
https://seatofthesoul.com/soul-snack-80-the-hidden-message-inside-every-emotion-youve-been-ignoring,Soul Snack #80: The Hidden Message Inside Every Emotion You’ve Been Ignoring,Soul Snack,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (455 words, ideal 500+)",109,0,455,0,0
https://seatofthesoul.com/soul-feast-65-how-can-i-change-the-world-from-the-new-consciousness,Soul Feast #65: How Can I Change the World from the New Consciousness?,Soul Feast,50,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Title too long (103 chars, aim 30-65)",103,0,524,0,0
https://seatofthesoul.com/soul-snack-73-why-is-it-important-to-experience-physical-sensations,Soul Snack #73: Why is it Important to Experience Physical Sensations?,Soul Snack,50,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Title too long (103 chars, aim 30-65)",103,0,521,0,0
https://seatofthesoul.com/soul-snack-82-the-reason-jealousy-keeps-coming-back,Soul Snack #82: The Reason Jealousy Keeps Coming Back,Soul Snack,50,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Title too long (86 chars, aim 30-65)",86,0,525,0,0
https://seatofthesoul.com/soul-snack-83-stop-fighting-for-control-how-to-trade-external-power-for-authentic-power,Soul Snack #83: Stop Fighting for Control: How to Trade External Power for Authentic Power,Soul Snack,50,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Title too long (123 chars, aim 30-65)",123,0,563,0,0
https://seatofthesoul.com/the-underlying-gift-of-addiction,SOUL FEAST # 17: The Underlying Gift of Addiction,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (362 words, ideal 500+)",82,0,362,1,0
https://seatofthesoul.com/why-humbleness-is-the-superpower-of-everyday-heroes,Soul Feast #12: Why Humbleness Is the Superpower of Everyday Heroes,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (342 words, ideal 500+)",100,0,342,1,0
https://seatofthesoul.com/use-clarity-and-choose-love,Soul Feast #13: Use Clarity and Choose Love!,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (316 words, ideal 500+)",77,0,316,1,0
https://seatofthesoul.com/what-is-love,Soul Feast #14: What is Love?,Soul Feast,52,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (303 words, ideal 500+)",62,0,303,0,0
https://seatofthesoul.com/what-to-do-before-you-speak-or-act,Soul Feast #18: What To Do Before You Speak or Act,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (304 words, ideal 500+)",83,0,304,1,0
https://seatofthesoul.com/how-oprah-called,Soul Feast #1: How Is It That Oprah Called You?,Soul Feast,52,"Meta description too long (393 chars, aim 120-160)","Add internal links (currently 0, aim 3+)","Short content (323 words, ideal 500+)",80,393,323,0,0
https://seatofthesoul.com/choosing-roles-in-spiritual-partnership,Soul Feast #21: Choosing Roles in Spiritual Partnership,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (346 words, ideal 500+)",88,0,346,1,0
https://seatofthesoul.com/what-you-can-control,Soul Feast #24: What You Can Control,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (352 words, ideal 500+)",69,0,352,1,0
https://seatofthesoul.com/inspiration-for-the-seat-of-the-soul,Soul Feast #2: Where Did the Inspiration for “The Seat of the Soul” Come From?,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (326 words, ideal 500+)",111,0,326,1,0
https://seatofthesoul.com/were-all-in-it-together,Soul Feast #31: Together Miniseries #1: We’re All In It Together,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (434 words, ideal 500+)",97,0,434,1,0
https://seatofthesoul.com/together-miniseries-2-the-death-of-external-power,Soul Feast #32: Together Miniseries #2: The Death of External Power,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (416 words, ideal 500+)",100,0,416,1,0
https://seatofthesoul.com/together-miniseries-4-the-beauty-of-the-contrast,Soul Feast #34: Together Miniseries #4: The Beauty of the Contrast,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (437 words, ideal 500+)",99,0,437,1,0
https://seatofthesoul.com/soul-feast-38-together-miniseries-8-the-biggest-surprise,Soul Feast #38: Together Miniseries #8: The Biggest Surprise,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (427 words, ideal 500+)",93,0,427,1,0
https://seatofthesoul.com/soul-feast-39-the-danger-of-forgetting,Soul Feast #39: The Danger of Forgetting: Let’s Not Repeat the Past,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (403 words, ideal 500+)",100,0,403,1,0
https://seatofthesoul.com/soul-feast-40-the-point-of-power-in-turbulent-times,Soul Feast #40: The Point of Power in Turbulent Times,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (406 words, ideal 500+)",86,0,406,1,0
https://seatofthesoul.com/soul-feast-41-what-am-i-responsible-for,Soul Feast #41: What Am I Responsible For?,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (406 words, ideal 500+)",75,0,406,1,0
https://seatofthesoul.com/soul-feast-44-the-gifts-of-temptation,Soul Feast #44: The Gifts of Temptation,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (460 words, ideal 500+)",72,0,460,1,0
https://seatofthesoul.com/soul-feast-45-how-can-you-respond-with-love-when-there-is-chaos-and-political-upheaval-all-around-you-2,Soul Feast #45: How Can You Respond with Love When There is Chaos and Political Upheaval All Around You?,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (488 words, ideal 500+)",137,0,488,1,0
https://seatofthesoul.com/soul-feast-46-resisting-political-divisiveness-and-conforming-to-fear,Soul Feast #46: Resisting Political Divisiveness and Conforming To Fear,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (479 words, ideal 500+)",104,0,479,1,0
https://seatofthesoul.com/soul-feast-48-are-current-world-events-the-cause-of-my-emotional-pain,Soul Feast #48: Are Current World Events the Cause of My Emotional Pain?,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (390 words, ideal 500+)",105,0,390,1,0
https://seatofthesoul.com/soul-feast-49-whats-real-ai,Soul Feast #49: What’s Real? AI,Soul Feast,52,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (395 words, ideal 500+)",64,0,395,0,0
https://seatofthesoul.com/soul-feast-50-whats-real-meaning,Soul Feast #50: What’s Real? Meaning,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (390 words, ideal 500+)",69,0,390,1,0
https://seatofthesoul.com/soul-feast-51-whats-real-connection,Soul Feast #51: What’s Real? Connection,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (397 words, ideal 500+)",72,0,397,1,0
https://seatofthesoul.com/soul-feast-52-whats-real-reverence,Soul Feast #52: What’s Real? Reverence,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (353 words, ideal 500+)",71,0,353,1,0
https://seatofthesoul.com/soul-feast-55-whats-real-creating-authentic-power,Soul Feast #55: What’s Real? Creating Authentic Power,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (383 words, ideal 500+)",86,0,383,1,0
https://seatofthesoul.com/soul-feast-56-whats-real-what-should-i-do-now,Soul Feast #56: What’s Real? What Should I Do Now?,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (386 words, ideal 500+)",83,0,386,1,0
https://seatofthesoul.com/soul-feast-58-moving-beyond-stress,Soul Feast #58: Moving Beyond Stress,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (408 words, ideal 500+)",69,0,408,1,0
https://seatofthesoul.com/soul-feast-59-everyone-is-fighting-a-great-battle,Soul Feast #59: Everyone is Fighting a Great Battle,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (352 words, ideal 500+)",84,0,352,1,0
https://seatofthesoul.com/soul-feast-62-compassion-is-not-for-cowards,Soul Feast #62: Compassion is Not for Cowards,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (420 words, ideal 500+)",78,0,420,1,0
https://seatofthesoul.com/soul-feast-66-the-authentic-power-guidelines-series-introduction,Soul Feast #66: The Authentic Power Guidelines: Series Introduction,Soul Feast,52,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Short content (447 words, ideal 500+)",100,0,447,1,0
